篇號,日期,週,資料夾名
1,2026-06-08,週一,20260608
2,2026-06-09,週二,20260609
3,2026-06-10,週三,20260610
4,2026-06-11,週四,20260611
5,2026-06-12,週五,20260612
6,2026-06-15,週一,20260615
7,2026-06-16,週二,20260616
8,2026-06-17,週三,20260617
9,2026-06-18,週四,20260618
10,2026-06-22,週一,20260622
11,2026-06-23,週二,20260623
12,2026-06-24,週三,20260624
13,2026-06-25,週四,20260625
14,2026-06-26,週五,20260626
15,2026-06-29,週一,20260629
16,2026-06-30,週二,20260630
17,2026-07-01,週三,20260701
18,2026-07-02,週四,20260702
19,2026-07-03,週五,20260703
20,2026-07-06,週一,20260706
21,2026-07-07,週二,20260707
22,2026-07-08,週三,20260708
23,2026-07-09,週四,20260709
24,2026-07-10,週五,20260710
25,2026-07-13,週一,20260713
26,2026-07-14,週二,20260714
27,2026-07-15,週三,20260715
28,2026-07-16,週四,20260716
29,2026-07-17,週五,20260717
30,2026-07-20,週一,20260720
31,2026-07-21,週二,20260721
32,2026-07-22,週三,20260722
33,2026-07-23,週四,20260723
34,2026-07-24,週五,20260724
35,2026-07-27,週一,20260727
36,2026-07-28,週二,20260728
37,2026-07-29,週三,20260729
38,2026-07-30,週四,20260730
39,2026-07-31,週五,20260731
40,2026-08-03,週一,20260803
41,2026-08-04,週二,20260804
42,2026-08-05,週三,20260805
43,2026-08-06,週四,20260806
44,2026-08-07,週五,20260807
45,2026-08-10,週一,20260810
46,2026-08-11,週二,20260811
47,2026-08-12,週三,20260812
48,2026-08-13,週四,20260813
49,2026-08-14,週五,20260814
50,2026-08-17,週一,20260817
51,2026-08-18,週二,20260818
52,2026-08-19,週三,20260819
53,2026-08-20,週四,20260820
54,2026-08-21,週五,20260821
55,2026-08-24,週一,20260824
56,2026-08-25,週二,20260825
57,2026-08-26,週三,20260826
58,2026-08-27,週四,20260827
59,2026-08-28,週五,20260828
60,2026-08-31,週一,20260831
61,2026-09-01,週二,20260901
62,2026-09-02,週三,20260902
63,2026-09-03,週四,20260903
64,2026-09-04,週五,20260904
65,2026-09-07,週一,20260907
66,2026-09-08,週二,20260908
67,2026-09-09,週三,20260909
68,2026-09-10,週四,20260910
69,2026-09-11,週五,20260911
70,2026-09-14,週一,20260914
71,2026-09-15,週二,20260915
72,2026-09-16,週三,20260916
73,2026-09-17,週四,20260917
74,2026-09-18,週五,20260918
75,2026-09-21,週一,20260921
76,2026-09-22,週二,20260922
77,2026-09-23,週三,20260923
78,2026-09-24,週四,20260924
79,2026-09-28,週一,20260928
80,2026-09-29,週二,20260929
81,2026-09-30,週三,20260930
82,2026-10-01,週四,20261001
83,2026-10-02,週五,20261002
84,2026-10-05,週一,20261005
85,2026-10-06,週二,20261006
86,2026-10-07,週三,20261007
87,2026-10-08,週四,20261008
88,2026-10-12,週一,20261012
89,2026-10-13,週二,20261013
90,2026-10-14,週三,20261014
91,2026-10-15,週四,20261015
92,2026-10-16,週五,20261016
93,2026-10-19,週一,20261019
94,2026-10-20,週二,20261020
95,2026-10-21,週三,20261021
96,2026-10-22,週四,20261022
97,2026-10-23,週五,20261023
98,2026-10-26,週一,20261026
99,2026-10-27,週二,20261027
100,2026-10-28,週三,20261028
